id;street;number;complement;district;city;state;zip_code;country
1;Rodovia Santos;from gosh with;forenenst beside cego;helicóptero;Pablo do Sul;bo;66315-399;Congo
2;Marginal Franco;less;compartilhar;why whenever fooey;Cecília do Norte;ca;96627-192;Uruguai
3;Travessa Moraes;because behind aw;wholly in;pessimista república;Souza do Norte;fe;58875-969;Ilha Bouvet
4;Rodovia Dalila;quieto psst;criança colorir up;líquido mortally;Oliveira de Nossa Senhora;pe;41070-209;Ilhas Marshall
5;Rodovia Braga;salvar;preocupado failing;aha passivo;Braga do Sul;mo;01821-867;Afeganistão
6;Travessa João Pedro;evenly neve mostly;ombro amidst vagão;furioso whether;Júlia do Sul;go;14307-171;Ilhas Virgens
7;Alameda Saraiva;although;telefone treinar;igreja incidentally;Fabiano de Nossa Senhora;te;93177-610;Estados Unidos da América
8;Marginal Salvador;olho;before;urgently;Isis de Nossa Senhora;hm;98754-193;México
9;Rodovia Costa;humano;hmph recusar;rarely;Batista do Descoberto;bo;46391-585;Camarões
10;Travessa Melo;equally whoever;whose;safely from mês;Batista do Sul;wh;60483-165;Mongólia
11;Marginal Liz;ugh tratar perceber;huzzah pizza;including estudar rebater;Barros de Nossa Senhora;co;01359-164;Peru
12;Travessa Larissa;sans pro;hm nariz fooey;cantor;Murilo do Sul;ba;87294-557;Benin
13;Rodovia Martins;curtir;apitar joyously knottily;arrendar geez gosh;Janaína do Descoberto;di;96218-272;Irã
14;Rodovia Braga;fácil quarrelsomely ;before because;gasoso;Santos do Norte;on;80913-108;Belize
15;Marginal Isaac;encaminhar what;sangue;germinar;Marina do Sul;if;15779-258;Ilha Bouvet
16;Avenida Batista;escuro liso uh-huh;from;gadzooks;Marina do Descoberto;ps;78224-826;Quênia
17;Avenida Martins;opaco;ack punir atacar;as oof;Murilo do Sul;in;95812-817;Bahamas
18;Rua Valentina;honestly aboard;representar gosh;whoever dedo salgado;Braga do Norte;si;40020-584;Turcomenistão
19;Travessa Albuquerque;crescer difícil;inspirar;if;Franco do Sul;bo;84308-864;Mauritânia
20;Marginal Xavier;er after;boohoo mesa;blah limpar;Benjamin de Nossa Senhora;tr;75478-930;Equador
21;Marginal Marina;relaxado;justly;partido even including;Marli do Sul;hm;84344-791;Ilha do Natal
22;Travessa Albuquerque;supposing but;consequently rede nota;voltar yowza musical;Víctor do Descoberto;be;27675-109;São Martinho
23;Avenida Carvalho;cotar medroso whose;boo phooey;tratar underneath ouch;Carlos do Descoberto;mi;89367-489;Burkina Faso
24;Travessa Clara;behind till so;operar;energetically claro;Ladislau do Sul;hu;44037-407;República Dominicana
25;Marginal Carvalho;once;musculoso triangular till;gosh;Gabriel de Nossa Senhora;be;22820-281;Grécia
26;Travessa Rafael;furioso relógio bomb;bah;regarding frio;Alice de Nossa Senhora;ol;54318-137;Suriname
27;Marginal Saraiva;potentially until;editar monitorar atop;óculos;Carvalho de Nossa Senhora;yo;94068-334;Azerbaijão
28;Alameda Ana Júlia;miserably deslizar i;upon usually;mão minuto;Xavier do Sul;mo;32169-491;Andorra
29;Marginal Lívia;whether supermercado;instead off;psst ick nota;Margarida do Sul;st;45770-042;Burkina Faso
30;Rodovia Melo;complexo too pessimi;apostar doce analisar;aboard;Barros de Nossa Senhora;yu;65758-396;Colômbia
