id;name;description;active
1;lâmpada;classificar;false
2;vestir;huzzah ha;true
3;desonesto sopa phooey;apud knottily;true
4;ficar peixe;faithfully borracha;false
5;vizinho;seriously till;true
6;psst curtir;swiftly;true
7;plantar astride;until;true
8;but huzzah;blog;false
9;apropos;drat;true
10;janela via caminhão;eek madly;false
11;toward concerning ah;boo;true
12;or mysteriously inteligente;why bloquear;false
13;moto failing or;estreito gadzooks;true
14;hence gasto hungrily;regularly;false
15;valiantly gently greatly;gasto fondly;true
16;duh nivelar incidentally;oval ouch forte;false
17;ferociously ler;blah;true
18;clicar mid apostar;athwart qua;true
19;yearly questionably ano;consequently than;true
20;but;and acidly;false
21;vetar;planejar ick;true
22;preocupado an;from bom;true
23;yum yippee optimistically;lest forenenst;true
24;whether oval;liso;true
25;resistente monocromático senado;ombro;false
26;fully terra;derreter what;false
27;educado;unless ansioso site;true
28;scarcely brr;qua rude beside;false
29;copo caderno unha;boi;true
30;aço opposite;geez astride;true
