id;order_number;order_date;status;subtotal;discount;shipping_cost;total_price;notes
1;like;2026-05-07T05:35:24;CANCELLED;28506.58;933.71;19214.13;19933.43;leite circa eek
2;liso oh;2026-05-07T12:29:23;CREATED;5674.53;29485.87;28608.3;703.47;ansioso feliz acelerar
3;where;2026-05-07T11:44:06;DELIVERED;6987.97;6518.14;29168.73;18590.82;partir sujo
4;sofá unto;2026-05-07T16:19:44;CREATED;21789.09;8399.06;11900.5;22088.54;supposing
5;vazio áspero notwithstanding;2026-05-07T01:41:27;REFUNDED;6572.62;31334.25;2503.8;15197.85;upbeat indeed
6;a;2026-05-07T05:35:10;REFUNDED;25365.07;10707.23;9219.77;11529.7;perfectly yet
7;livraria;2026-05-07T17:07:05;CREATED;25667.22;3473.63;10653.77;15628.18;marcar furthermore
8;leve gastar programar;2026-05-07T06:24:17;PAID;21178.94;9822.15;29522.22;31102.18;ugh really vaca
9;memorizar yippee;2026-05-07T03:23:22;WAITING_PAYMENT;17321.11;8922.62;4694.45;12562.15;concerning quente
10;into eventually;2026-05-06T20:58:27;DELIVERED;13739.78;16340.6;30822.79;14724.86;visível while
11;boo following hungrily;2026-05-07T13:15:00;SHIPPED;17541.44;2173.09;15572.46;13701.83;monitorar terrestre
12;colorfully;2026-05-06T19:20:38;REFUNDED;17717.58;17105.63;26424.95;15374.72;apud
13;till as utterly;2026-05-07T00:52:01;PAID;12873.06;5413.46;29055.14;23020.14;piorar sentir telefone
14;willfully or lamber;2026-05-06T18:27:32;WAITING_PAYMENT;2184.38;24386.8;4196.12;17997.79;times forenenst ugh
15;yippee leão duro;2026-05-07T09:22:39;WAITING_PAYMENT;3555.98;16421.16;8929.66;8023.17;azedo
16;acelerar;2026-05-06T23:57:22;WAITING_PAYMENT;3594.73;19306.82;13626.85;4389.39;ensinar than
17;out fondly by;2026-05-07T13:56:39;CREATED;19332.05;6288.36;14428.71;4752.82;courageously
18;that;2026-05-07T16:04:46;REFUNDED;6276.55;28392.9;15443.73;19769.56;aha like modulo
19;mar indeed swiftly;2026-05-07T17:20:04;WAITING_PAYMENT;16913.19;13067.46;22535.99;9220.46;finally hmph duvidar
20;mãe acreditar;2026-05-07T08:58:40;CANCELLED;20374.61;12239.68;15926.44;18712.19;seguro
21;incidentally boo;2026-05-07T01:59:37;SHIPPED;18160.79;26774.09;15533.31;25893.87;ouch hm avaliar
22;per arroz;2026-05-07T14:48:03;WAITING_PAYMENT;31767.63;8284.4;11167.16;12052.68;nervoso tremendously
23;digitalizar;2026-05-07T05:21:35;CREATED;9760.16;1392.96;8394.89;13085.95;musical cotar
24;governar;2026-05-07T02:01:52;WAITING_PAYMENT;20716.17;32396.96;5569.01;16987.95;consequently conectar lixeira
25;pequeno alongside strictly;2026-05-07T01:48:32;DELIVERED;15352.96;25463.82;2529.06;10469.22;upon huzzah dearly
26;ha livre;2026-05-07T10:39:44;CREATED;14165.54;23621.11;32274.99;26533.88;than regarding whenever
27;aside;2026-05-07T06:30:22;CANCELLED;19000.91;8869.79;18612.46;456.63;escola
28;rude blissfully ouvido;2026-05-07T11:28:57;CREATED;10249.52;6314.1;23720.26;19362.68;thankfully which finally
29;phooey;2026-05-06T23:40:45;SEPARATING;14421.21;5420.98;14661.78;12103.27;aside ovo scarily
30;fervently;2026-05-07T07:27:49;PAID;5690.54;11081.5;3694.69;24298.64;gadzooks
