id;quantity;unit_price;total_price
1;24694;12267.42;6391.61
2;31139;12933.88;20232.03
3;21076;5711.86;31953.5
4;9777;25553.46;8202.7
5;2202;3734.25;8171.78
6;14868;19842.8;10161.72
7;12572;8139.23;15767.76
8;1931;30540.09;12417.54
9;17441;23677.02;20423.74
10;19787;8870.33;11307.82
11;28995;5194.22;8770.14
12;6888;26352.14;4182.46
13;18410;1611.35;7997.72
14;32182;19259.08;26179.31
15;23197;211.97;13618.61
16;6846;16899.43;31909.35
17;14627;20002.48;1383.24
18;8252;13603.38;23602.47
19;2135;14758.94;7427.48
20;26371;20640.52;27815.77
21;35;4342.11;16186.91
22;32563;5526;16480.05
23;21687;14921.4;30768.39
24;26316;9316.39;18862.62
25;183;10840.96;7738.65
26;9255;31480.8;10440.43
27;22810;27780.22;28524.83
28;27053;12383.78;26863.32
29;32209;17859.95;5009.94
30;6005;27979.77;16023.09
