id;method;status;amount;transaction_code;paid_date
1;DEBIT_CARD;APPROVED;30539.82;oh tightly huzzah;2026-05-07T16:26:29
2;CASH;APPROVED;25199.8;baixo responsável;2026-05-06T21:54:04
3;BOLETO;REFUSED;19738.09;fooey descer however;2026-05-07T10:47:54
4;PIX;APPROVED;2797.09;which scarcely whoa;2026-05-07T11:47:30
5;BOLETO;CANCELLED;21235.61;daintily phew;2026-05-07T02:36:40
6;CREDIT_CARD;REFUNDED;18912.07;because perder zowie;2026-05-07T08:19:26
7;CASH;REFUSED;31788.52;woot oof;2026-05-07T04:58:54
8;DEBIT_CARD;APPROVED;16741.58;mensagem throughout;2026-05-07T16:45:11
9;CASH;PENDING;16135.85;programar pedra;2026-05-06T22:35:10
10;DEBIT_CARD;APPROVED;12699.65;out digitalizar espirrar;2026-05-07T00:39:15
11;CREDIT_CARD;REFUNDED;22526.82;estrela complexo so;2026-05-06T18:44:54
12;PIX;REFUNDED;32749.35;furthermore engraçado lei;2026-05-07T00:17:01
13;PIX;PENDING;8775.23;nicely;2026-05-07T10:53:00
14;CASH;REFUSED;20435.73;rigidly;2026-05-07T09:05:55
15;CREDIT_CARD;REFUNDED;8810.67;drat consequently blah;2026-05-06T22:47:35
16;CREDIT_CARD;REFUNDED;875.47;conectar er;2026-05-07T16:13:58
17;CREDIT_CARD;REFUSED;28419.81;quadrado excluding;2026-05-06T18:32:28
18;BOLETO;APPROVED;12423.05;whenever calmly which;2026-05-07T04:19:26
19;CASH;PENDING;8532.99;um how during;2026-05-06T19:04:47
20;CASH;CANCELLED;12596.94;porta hm blah;2026-05-07T11:44:16
21;PIX;APPROVED;21641.29;brr;2026-05-07T13:32:22
22;BOLETO;REFUNDED;6082.79;upon foolishly;2026-05-07T11:20:26
23;PIX;APPROVED;15204.7;vazio disposto;2026-05-07T07:24:31
24;CREDIT_CARD;PENDING;32209.47;whereas rio;2026-05-07T06:51:55
25;PIX;CANCELLED;19174.51;whereas yahoo;2026-05-06T23:28:27
26;DEBIT_CARD;PENDING;28652.18;rude;2026-05-07T03:52:08
27;CREDIT_CARD;CANCELLED;17311.89;consequently;2026-05-07T12:36:10
28;PIX;APPROVED;27353.2;before treinar;2026-05-07T03:13:14
29;BOLETO;PENDING;22544.34;vice terrestre macaco;2026-05-07T05:28:51
30;DEBIT_CARD;CANCELLED;15048.13;far usefully incidentally;2026-05-06T19:28:35
