id;name;slug;description;price;promotional_price;sku;image_url;stock;active;created_date;updated_date
1;receber;cadeira;../fake-data/blob/hipster.txt;29287.59;10750.12;saudável once multar;indeed including aha;25041;false;2026-05-06T23:53:29;2026-05-07T10:16:07
2;although;when;../fake-data/blob/hipster.txt;32636.7;5427.08;er honesto;ah whoa;5256;false;2026-05-07T07:12:01;2026-05-06T22:07:10
3;with;grande yet;../fake-data/blob/hipster.txt;32056.89;28797.55;esbarrar triumphantly;confiante furthermore incidentally;17044;false;2026-05-07T06:58:51;2026-05-07T05:02:45
4;amid verbally relaxado;pfft;../fake-data/blob/hipster.txt;8386.34;24283.91;bravely inasmuch;diligently tempo pfft;22136;false;2026-05-07T05:13:25;2026-05-07T07:18:14
5;bloquear;senado;../fake-data/blob/hipster.txt;6051.5;15069.47;gentil fast;boo;30570;true;2026-05-07T13:45:01;2026-05-07T05:56:23
6;qua courageously an;among;../fake-data/blob/hipster.txt;22145.68;24821.93;following queimar;internar;25327;false;2026-05-06T17:58:15;2026-05-07T17:03:05
7;artístico;barco tigre astride;../fake-data/blob/hipster.txt;5192.19;24096.78;instead;per er;21332;false;2026-05-07T01:42:13;2026-05-06T18:24:34
8;consequently azedo limpar;chato amargo;../fake-data/blob/hipster.txt;6417.72;3779.47;fechado likely;opposite;23646;false;2026-05-06T19:00:40;2026-05-07T06:37:00
9;amid ew;indiferente janela salgado;../fake-data/blob/hipster.txt;18204.5;5404.66;anenst;treinar rebater;8823;false;2026-05-07T01:08:21;2026-05-07T16:56:31
10;aha quaintly;angrily cozinhar since;../fake-data/blob/hipster.txt;30912.13;17009.15;liso;calcular;17433;false;2026-05-07T00:00:28;2026-05-07T07:18:03
11;normal senha supposing;organizado apropos briskly;../fake-data/blob/hipster.txt;12802.9;18384.3;notícia gosh;musculoso organizado geez;31972;false;2026-05-07T14:35:33;2026-05-07T04:17:07
12;borracha indeed partially;woot atirar;../fake-data/blob/hipster.txt;17981.92;16489.95;livraria;before desorganizado julgar;4217;false;2026-05-07T15:16:12;2026-05-07T02:39:24
13;where which;phooey properly furthermore;../fake-data/blob/hipster.txt;19435.61;31051.7;yahoo deslizar;árvore;11471;false;2026-05-06T18:35:43;2026-05-07T04:19:03
14;notwithstanding dirigir;aço hm barco;../fake-data/blob/hipster.txt;11698.37;31818.13;uh-huh;oof;13047;false;2026-05-07T05:13:18;2026-05-06T20:08:14
15;however;dente;../fake-data/blob/hipster.txt;8626.59;28899.72;mês;minus worth explicar;24126;false;2026-05-07T16:48:21;2026-05-07T09:43:25
16;plus boo;mês;../fake-data/blob/hipster.txt;7076.07;23800.38;well blah excluding;faithfully duh;15539;true;2026-05-07T11:24:02;2026-05-06T22:34:35
17;bombeiro ferociously how;complexo off until;../fake-data/blob/hipster.txt;13158.82;13265.35;frankly;but nervoso;14046;true;2026-05-07T02:36:24;2026-05-07T08:59:34
18;via coaxingly whereas;instead áspero following;../fake-data/blob/hipster.txt;32610.33;2724.93;deputado along;sweetly;4664;true;2026-05-06T17:56:33;2026-05-06T19:08:37
19;yowza wrongly;for per;../fake-data/blob/hipster.txt;11863.34;28657.42;including trabalhar;calor off questionably;19214;false;2026-05-07T01:43:50;2026-05-07T13:23:21
20;deslogar familiar;um esquentar;../fake-data/blob/hipster.txt;3443.46;31044.91;through finally huzzah;uselessly unless;1965;true;2026-05-07T02:59:03;2026-05-06T22:52:28
21;as and sapato;amongst;../fake-data/blob/hipster.txt;3265.65;6849.78;bravely;yahoo acelerar whenever;21240;false;2026-05-07T09:13:50;2026-05-07T15:52:50
22;if if;amid;../fake-data/blob/hipster.txt;6372.03;28897.85;whoever since;plus toward to;30425;true;2026-05-07T14:25:40;2026-05-07T03:38:08
23;now phew;digitalizar concerning;../fake-data/blob/hipster.txt;20176.91;29031.76;till weakly wherever;annually bleakly;18658;true;2026-05-06T22:23:32;2026-05-07T10:45:44
24;miserably;quieto meanwhile;../fake-data/blob/hipster.txt;19229.08;23409.12;onto;gosh whenever phew;9695;true;2026-05-07T15:22:21;2026-05-07T07:16:46
25;near ficar café;gadzooks;../fake-data/blob/hipster.txt;9092.02;29411.2;esconder;after;2761;true;2026-05-07T12:55:29;2026-05-06T19:51:10
26;hence;resumir senha;../fake-data/blob/hipster.txt;1931.78;24187.22;notwithstanding;universidade;6608;false;2026-05-06T23:56:01;2026-05-06T19:24:46
27;below confirmar terra;urgently till aboard;../fake-data/blob/hipster.txt;27309.07;11305.63;língua;retangular derreter lamber;4631;false;2026-05-07T06:37:55;2026-05-07T16:53:39
28;engenheiro excepting verdadeiro;painfully;../fake-data/blob/hipster.txt;15673.29;5816.99;bombeiro loja lua;vacinar above whereas;24708;true;2026-05-07T08:20:11;2026-05-06T17:52:14
29;duh opposite rebater;furthermore;../fake-data/blob/hipster.txt;11485.3;11002.89;perder alegre;excluding;4444;false;2026-05-07T10:29:10;2026-05-06T21:54:48
30;osso colorfully intently;professor;../fake-data/blob/hipster.txt;28939.42;10742.59;hotel papel;though;7548;true;2026-05-07T10:40:10;2026-05-07T10:20:08
