id;tracking_number;carrier;status;shipped_date;delivered_date
1;colorfully humano operar;brisa;DELIVERED;2026-05-07T12:11:49;2026-05-07T11:54:23
2;below;instantly gratefully fiercely;PENDING;2026-05-07T17:08:17;2026-05-07T01:57:55
3;furthermore truthfully;excluir woot;RETURNED;2026-05-07T16:03:40;2026-05-07T14:41:19
4;restfully;upbeat;SHIPPED;2026-05-07T05:00:02;2026-05-07T14:46:21
5;below biblioteca novo;barring pontudo;PENDING;2026-05-06T20:56:50;2026-05-07T04:09:05
6;through so;hotel among;RETURNED;2026-05-07T14:04:19;2026-05-07T01:49:28
7;given beyond over;ganhar gosh fervently;PENDING;2026-05-07T03:06:58;2026-05-07T06:39:14
8;abrir barulhento;unnecessarily astride;PENDING;2026-05-06T17:28:42;2026-05-06T21:14:24
9;coçar desorganizado ativo;fiercely bah;PENDING;2026-05-06T23:17:26;2026-05-06T22:38:17
10;pace novo aberto;lamber;DELIVERED;2026-05-07T07:09:27;2026-05-07T15:12:26
11;absent;ano as;PREPARING;2026-05-06T19:32:45;2026-05-06T17:34:34
12;ovo quieto;quieto that aparecer;PREPARING;2026-05-07T06:04:07;2026-05-06T21:30:00
13;gee oof conta;interruptor dearly;DELIVERED;2026-05-07T03:27:21;2026-05-07T01:27:52
14;patiently;provided lightly;RETURNED;2026-05-06T20:20:34;2026-05-06T20:26:30
15;contente;psst cadeira;DELIVERED;2026-05-07T08:56:41;2026-05-07T15:00:06
16;frenetically;gah lento gadzooks;PREPARING;2026-05-07T06:34:01;2026-05-07T00:01:35
17;otimista abrir cavalo;nor hm because;SHIPPED;2026-05-07T08:22:49;2026-05-07T06:04:16
18;medir fosco;than;SHIPPED;2026-05-06T21:23:42;2026-05-07T14:48:42
19;calmo espirrar;organizado blah;SHIPPED;2026-05-07T15:11:38;2026-05-07T02:43:40
20;dedo perder lightly;orgulhar sonhar pish;SHIPPED;2026-05-07T09:58:46;2026-05-07T05:07:40
21;jogar;fazenda;PREPARING;2026-05-06T22:01:28;2026-05-07T06:24:02
22;formatar;instead mid;PREPARING;2026-05-07T06:59:32;2026-05-07T17:13:08
23;cheio;caro ugh;DELIVERED;2026-05-07T04:57:17;2026-05-06T19:05:32
24;mau contente;galo refletir instead;PENDING;2026-05-07T00:41:14;2026-05-07T14:27:54
25;vacinar;for so ouch;PENDING;2026-05-07T12:43:38;2026-05-07T00:32:06
26;nor knottily;interestingly caro surpreender;PREPARING;2026-05-06T22:57:42;2026-05-07T04:17:28
27;near jealously;assistir;SHIPPED;2026-05-07T14:02:49;2026-05-07T05:16:50
28;wherever;while ouch;SHIPPED;2026-05-07T16:34:18;2026-05-06T22:07:21
29;midst;phew;RETURNED;2026-05-06T19:11:51;2026-05-07T15:38:12
30;streaming;yowza desinstalar;RETURNED;2026-05-07T04:26:27;2026-05-07T01:28:27
