id;quantity;unit_price
1;18780;23567.28
2;32020;12313.76
3;8322;10275.33
4;8689;12353.68
5;17069;17786.77
6;2343;29864.08
7;23848;21706.94
8;2202;25336
9;9068;6909.57
10;19460;22528.69
11;23499;21809.49
12;8002;32471.58
13;14900;15630.39
14;27524;4199.73
15;12184;9973.12
16;13592;14201.04
17;7273;31763.87
18;28934;32064.74
19;8301;32584.55
20;18266;12312.89
21;11546;8933.47
22;10866;32111.95
23;8373;7983.29
24;173;14134.96
25;8514;9883.06
26;12818;19127.9
27;11085;6941
28;6761;23586.85
29;5377;10387.97
30;2487;26490.39
